epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,313.312,1.0708,2.01814,1.10768,1,0.04323,0.41306,0.2716,1.0146,3.18117,1.07456,0.000651515,0.000651515,0.000651515
2,580.734,1.03961,1.24455,1.05388,0.91567,0.945,0.95081,0.66663,1.0311,1.88521,1.12675,0.00129208,0.00129208,0.00129208
3,832.25,1.02461,1.07221,1.08331,0.97466,0.875,0.93127,0.60367,1.07744,2.01922,1.16334,0.00190625,0.00190625,0.00190625
4,1078.49,1.02963,0.91897,1.07152,0.99816,0.95,0.97603,0.68746,1.05044,1.15575,1.19828,0.0018812,0.0018812,0.0018812
5,1326.24,1.00414,0.81186,1.06751,0.9885,0.955,0.98863,0.68335,1.10305,0.95083,1.19222,0.0018416,0.0018416,0.0018416
6,1568.14,0.99319,0.72374,1.06356,0.99249,0.975,0.99177,0.69354,1.02245,0.77622,1.11349,0.001802,0.001802,0.001802
7,1810.12,0.996,0.6787,1.06438,0.97556,0.99786,0.99445,0.74002,0.93247,0.65786,1.06467,0.0017624,0.0017624,0.0017624
8,2053.54,0.96885,0.60681,1.03326,0.97823,1,0.98545,0.72635,0.94886,0.6423,1.06927,0.0017228,0.0017228,0.0017228
9,2295.41,0.96016,0.60679,1.0439,0.99301,1,0.99435,0.75596,0.90734,0.59145,1.01778,0.0016832,0.0016832,0.0016832
10,3238.48,0.9575,0.57694,1.04258,0.99501,1,0.9941,0.72561,0.97639,0.62659,1.05191,0.0016436,0.0016436,0.0016436
11,3484.48,0.95504,0.5591,1.03924,0.98483,1,0.99341,0.75211,0.91734,0.5577,1.03816,0.001604,0.001604,0.001604
12,3728.63,0.95344,0.55494,1.03565,0.98455,0.99,0.99409,0.75536,0.92568,0.56819,1.03611,0.0015644,0.0015644,0.0015644
13,4374.34,0.93552,0.53909,1.02225,1,0.98677,0.9949,0.71392,1.02688,0.56345,1.0742,0.0015248,0.0015248,0.0015248
14,4627.8,0.95278,0.53049,1.03632,0.98223,1,0.99146,0.76431,0.89136,0.50924,1.03573,0.0014852,0.0014852,0.0014852
15,4874.59,0.95024,0.52879,1.02569,0.98519,0.99807,0.99112,0.74003,0.93397,0.49099,1.03648,0.0014456,0.0014456,0.0014456
16,5232.22,0.8921,0.48524,1.00987,0.97746,1,0.98893,0.77248,0.88411,0.53591,1.00787,0.001406,0.001406,0.001406
17,5476.48,0.90359,0.50276,1.01669,0.99464,1,0.995,0.75845,0.93457,0.48597,1.02752,0.0013664,0.0013664,0.0013664
18,5817.11,0.91062,0.48779,1.0231,0.99912,1,0.995,0.76059,0.88733,0.48059,1.01369,0.0013268,0.0013268,0.0013268
19,6159.61,0.91681,0.50721,1.02119,0.98808,1,0.99065,0.72928,0.95992,0.53474,1.0548,0.0012872,0.0012872,0.0012872
20,7204.65,0.89301,0.49002,1.01236,0.9845,1,0.99357,0.76226,0.8987,0.47463,1.02234,0.0012476,0.0012476,0.0012476
21,7447.04,0.88294,0.47011,1.01264,0.9888,1,0.99296,0.76923,0.89234,0.45818,1.00818,0.001208,0.001208,0.001208
22,7733.76,0.88765,0.46385,0.99955,0.99405,1,0.99296,0.75816,0.938,0.42662,1.04072,0.0011684,0.0011684,0.0011684
23,7977.28,0.86507,0.45376,0.99687,0.98916,0.995,0.99377,0.77305,0.88953,0.42241,1.01184,0.0011288,0.0011288,0.0011288
24,8220.36,0.85993,0.44793,0.99746,0.99575,1,0.995,0.77903,0.86922,0.40948,0.99427,0.0010892,0.0010892,0.0010892
25,8490.12,0.8712,0.448,0.99999,0.99447,1,0.99346,0.77802,0.8983,0.42384,0.998,0.0010496,0.0010496,0.0010496
26,8734.95,0.84165,0.43331,0.98533,0.99468,1,0.99316,0.78771,0.87826,0.39386,0.98609,0.00101,0.00101,0.00101
27,8977.4,0.83433,0.42801,0.98849,0.99459,1,0.99391,0.78756,0.90872,0.40465,1.0279,0.0009704,0.0009704,0.0009704
28,9390.34,0.83893,0.41584,0.98439,0.99423,1,0.99351,0.76905,0.90606,0.40577,1.0183,0.0009308,0.0009308,0.0009308
29,9637.46,0.85729,0.41984,0.98614,0.99809,1,0.995,0.78473,0.86179,0.39531,0.98772,0.0008912,0.0008912,0.0008912
30,9881.16,0.82509,0.41492,0.97101,0.99436,1,0.9942,0.76975,0.90838,0.3916,1.03499,0.0008516,0.0008516,0.0008516
31,12932.7,0.81575,0.40237,0.98097,0.99495,1,0.995,0.78829,0.85698,0.38669,0.98547,0.000812,0.000812,0.000812
32,13180.3,0.81674,0.40066,0.9781,0.99478,1,0.995,0.77075,0.92902,0.38429,1.01198,0.0007724,0.0007724,0.0007724
33,13421.3,0.81891,0.39818,0.97812,0.99477,1,0.995,0.77694,0.88731,0.38503,0.99179,0.0007328,0.0007328,0.0007328
34,13667.1,0.80663,0.39471,0.98312,0.99394,1,0.99291,0.77932,0.8771,0.39216,0.9944,0.0006932,0.0006932,0.0006932
35,13929.3,0.80015,0.39461,0.96877,0.99367,1,0.99485,0.79564,0.86024,0.37145,0.98069,0.0006536,0.0006536,0.0006536
36,14173.8,0.78967,0.39126,0.96293,0.99319,1,0.994,0.77887,0.85898,0.37882,0.98345,0.000614,0.000614,0.000614
37,14423.6,0.77833,0.37813,0.96736,0.99463,1,0.99321,0.78404,0.84677,0.36139,0.98241,0.0005744,0.0005744,0.0005744
38,14666.8,0.81622,0.38338,0.96951,0.99495,1,0.995,0.77891,0.88558,0.36017,0.98882,0.0005348,0.0005348,0.0005348
39,14912.1,0.77126,0.37597,0.96604,0.99475,1,0.995,0.78498,0.8955,0.35781,0.98719,0.0004952,0.0004952,0.0004952
40,15160.2,0.78917,0.37552,0.97004,0.99469,1,0.99495,0.79115,0.86055,0.35328,0.99435,0.0004556,0.0004556,0.0004556
41,15472.9,0.76107,0.34469,0.97038,0.99461,1,0.99391,0.77731,0.88903,0.36783,0.99489,0.000416,0.000416,0.000416
42,15723.7,0.74973,0.33195,0.96316,0.99464,1,0.99356,0.78798,0.85755,0.3547,0.98745,0.0003764,0.0003764,0.0003764
43,15967.2,0.73944,0.33688,0.95542,0.99469,1,0.99376,0.78409,0.8606,0.35906,0.98339,0.0003368,0.0003368,0.0003368
44,16210.9,0.73516,0.31951,0.96499,0.99467,1,0.99371,0.77223,0.8963,0.35959,1.00008,0.0002972,0.0002972,0.0002972
45,16464.7,0.72815,0.32509,0.95133,0.99469,1,0.99445,0.7946,0.87649,0.35279,0.98249,0.0002576,0.0002576,0.0002576
46,16711,0.72394,0.31867,0.94864,0.99468,1,0.9946,0.78848,0.88459,0.35479,0.9904,0.000218,0.000218,0.000218
47,16954.6,0.70959,0.31251,0.94825,0.9947,1,0.9949,0.79561,0.86242,0.34291,0.98755,0.0001784,0.0001784,0.0001784
48,17197.7,0.70793,0.30487,0.94812,0.9947,1,0.99485,0.79966,0.85035,0.34037,0.9747,0.0001388,0.0001388,0.0001388
49,17442.7,0.70664,0.30487,0.94323,0.99471,1,0.99445,0.79948,0.84934,0.33333,0.97899,9.92e-05,9.92e-05,9.92e-05
50,17684.2,0.68757,0.29982,0.94233,0.9947,1,0.9944,0.79404,0.85447,0.3315,0.97315,5.96e-05,5.96e-05,5.96e-05
